2024-04-22 11:06:27.738565|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/10A.pdf | pdf_name = 10A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/8C.pdf | pdf_name = 8C.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/15A.pdf | pdf_name = 15A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/6D.pdf | pdf_name = 6D.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/16C.pdf | pdf_name = 16C.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/16B.pdf | pdf_name = 16B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/15B.pdf | pdf_name = 15B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/12A.pdf | pdf_name = 12A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/14B.pdf | pdf_name = 14B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/18D.pdf | pdf_name = 18D.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/19B.pdf | pdf_name = 19B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/17D.pdf | pdf_name = 17D.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/18C.pdf | pdf_name = 18C.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/14A.pdf | pdf_name = 14A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/23B.pdf | pdf_name = 23B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/17C.pdf | pdf_name = 17C.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/20A.pdf | pdf_name = 20A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/13B.pdf | pdf_name = 13B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/24B.pdf | pdf_name = 24B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/20B.pdf | pdf_name = 20B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/17A.pdf | pdf_name = 17A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/16A.pdf | pdf_name = 16A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/19A.pdf | pdf_name = 19A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/13A.pdf | pdf_name = 13A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/17B.pdf | pdf_name = 17B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/21A.pdf | pdf_name = 21A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/22B.pdf | pdf_name = 22B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/21B.pdf | pdf_name = 21B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/18A.pdf | pdf_name = 18A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/18B.pdf | pdf_name = 18B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/26B.pdf | pdf_name = 26B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/25B.pdf | pdf_name = 25B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/22A.pdf | pdf_name = 22A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/22C.pdf | pdf_name = 22C.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/25A.pdf | pdf_name = 25A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/23A.pdf | pdf_name = 23A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/27B.pdf | pdf_name = 27B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/34B.pdf | pdf_name = 34B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/26A.pdf | pdf_name = 26A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/28A.pdf | pdf_name = 28A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/31B.pdf | pdf_name = 31B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/24A.pdf | pdf_name = 24A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/33A.pdf | pdf_name = 33A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/31A.pdf | pdf_name = 31A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/31C.pdf | pdf_name = 31C.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/30A.pdf | pdf_name = 30A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/38A.pdf | pdf_name = 38A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/36C.pdf | pdf_name = 36C.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/27A.pdf | pdf_name = 27A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/34A.pdf | pdf_name = 34A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/39B.pdf | pdf_name = 39B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/40B.pdf | pdf_name = 40B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/28B.pdf | pdf_name = 28B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/39A.pdf | pdf_name = 39A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/36A.pdf | pdf_name = 36A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/41C.pdf | pdf_name = 41C.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/43A.pdf | pdf_name = 43A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/32A.pdf | pdf_name = 32A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/42B.pdf | pdf_name = 42B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/48A.pdf | pdf_name = 48A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/35B.pdf | pdf_name = 35B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/38B.pdf | pdf_name = 38B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/36D.pdf | pdf_name = 36D.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/45A.pdf | pdf_name = 45A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/35A.pdf | pdf_name = 35A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/46A.pdf | pdf_name = 46A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/45B.pdf | pdf_name = 45B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/41D.pdf | pdf_name = 41D.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/40A.pdf | pdf_name = 40A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/41A.pdf | pdf_name = 41A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/44A.pdf | pdf_name = 44A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/41B.pdf | pdf_name = 41B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/47A.pdf | pdf_name = 47A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/52A.pdf | pdf_name = 52A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/46B.pdf | pdf_name = 46B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/46C.pdf | pdf_name = 46C.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/44B.pdf | pdf_name = 44B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/50B.pdf | pdf_name = 50B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/48C.pdf | pdf_name = 48C.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/49B.pdf | pdf_name = 49B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/50A.pdf | pdf_name = 50A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/55B.pdf | pdf_name = 55B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/53A.pdf | pdf_name = 53A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/60C.pdf | pdf_name = 60C.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/51A.pdf | pdf_name = 51A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/55A.pdf | pdf_name = 55A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/42A.pdf | pdf_name = 42A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/56A.pdf | pdf_name = 56A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/54B.pdf | pdf_name = 54B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/61B.pdf | pdf_name = 61B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/60B.pdf | pdf_name = 60B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/57A.pdf | pdf_name = 57A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/59B.pdf | pdf_name = 59B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/53B.pdf | pdf_name = 53B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/62A.pdf | pdf_name = 62A.pdf|2024-04-22 11:06:27.738565 | 
